id,classification_predictions,regression_predictions,isHigh,isLow,energy_1vs3,energy_6vs10,energy_20vs30,prob
3ea64e9c143efc1b3752cb10db509674fe594759,0.0,1.0,0.00638327,0.90550303,[9.9090487e-01 0.0000000e+00 0.0000000e+00 5.1789880e-06],[9.999449e-01 0.000000e+00 0.000000e+00 7.511814e-09],[0.5652979  0.         0.         0.18367599],0.0
1e08f1e9a8c611a99034900d7e71254f3e0bb0e9,0.0,1.0,0.006621152,0.8329348,[9.8904479e-01 0.0000000e+00 0.0000000e+00 1.0537662e-05],[9.9991977e-01 0.0000000e+00 0.0000000e+00 1.5163948e-08],[0.563523  0.        0.        0.1799919],0.0
5c1a295acf4240f8a73fffd548928104b5a85eba,0.0,1.0,0.0032130778,0.90366286,[9.8856539e-01 0.0000000e+00 0.0000000e+00 1.3427091e-05],[9.9991012e-01 0.0000000e+00 0.0000000e+00 1.8109242e-08],[0.5740864  0.         0.         0.17449906],0.0
35e47bc9b33ddf2efe63d450a14bbf70601293dd,0.0,1.0,0.0034664571,0.8908151,[9.8788536e-01 0.0000000e+00 0.0000000e+00 9.7537604e-06],[9.9991429e-01 0.0000000e+00 0.0000000e+00 1.5692587e-08],[0.57575536 0.         0.         0.17426303],0.0
1464c83d09e74799f639cd1b100cc048941b018d,0.0,1.0,0.0045392215,0.90399337,[9.867944e-01 0.000000e+00 0.000000e+00 3.543420e-06],[9.999455e-01 0.000000e+00 0.000000e+00 7.249388e-09],[0.55414695 0.         0.         0.19072166],0.0
8f4c699db6fa5280e45f4fb6c5ae95df0497be56,0.0,1.0,0.0090146065,0.7874207,[9.8669887e-01 0.0000000e+00 0.0000000e+00 7.2746793e-06],[9.9992919e-01 0.0000000e+00 0.0000000e+00 1.1703472e-08],[0.569431   0.         0.         0.17632514],0.0
f1f179ea2fcae04379c2809816aa484f27cacad2,0.0,1.0,0.00753963,0.8856562,[9.8637462e-01 0.0000000e+00 0.0000000e+00 1.9849855e-05],[9.9990141e-01 0.0000000e+00 0.0000000e+00 2.0490477e-08],[0.5807757  0.         0.         0.17315726],0.0
3a8a44bad74d182aae3ebf9e6bdd8257176708eb,0.0,1.0,0.008956611,0.89834136,[9.8634040e-01 0.0000000e+00 0.0000000e+00 6.6370003e-06],[9.9992585e-01 0.0000000e+00 0.0000000e+00 1.0301840e-08],[0.5737494  0.         0.         0.18876715],0.0
f36bf67b94e8ea2302da77dfc9374ac52a025e16,0.0,1.0,0.008401245,0.88202727,[9.861860e-01 0.000000e+00 0.000000e+00 9.907989e-06],[9.9993467e-01 0.0000000e+00 0.0000000e+00 1.0178783e-08],[0.5620214  0.         0.         0.18436281],0.0
2af0cd43744b782634e4541774744311cd4b38b0,0.0,1.0,0.0031223595,0.91511166,[9.8589897e-01 0.0000000e+00 0.0000000e+00 2.2340242e-05],[9.9992692e-01 0.0000000e+00 0.0000000e+00 1.2099321e-08],[0.5792604 0.        0.        0.1815441],0.0
